file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC25401 - 2023-11-23.z,2125.0737172256986,52951.1560861935,12173.17877214831,7.283953904336452e-06,3.2849074009940925e-07,0.438781,39.80090983422552,2496.0481675455867,5.279700230270793e-06,1.6020430039046453e-06,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,2044414540.7513895,6.170751639186689e-11,7.784866518969322e-12,38652.80359681949,1.0240337319950921e-06,4.0627690152562385e-07,0.777443,10.134842407813286,19587.564781524798,5.456640845860207e-07,8.01719940980425e-07,100000000.0,8.774795422109316e-05,0.376096,1.780182,31187.264925900916,2454964.702517977,0.3590407809254345,3.816982456843242,28.842685468424115,,37792.702151040045,31123.93572766664,18960.436984823857,2821.8003257072705,1385.303578934072,668.5038485392579,283.8859223373729,138.11280980816082,55.51175936227082,Parallel Circuit,default,0.0005831536523494523,15848.93,0.1,2025-04-04 12:08:25
BC25402 - 2023-11-23.z,0.018757156415533004,457365.10778100404,1679.708809704593,2.9431570531712215e-12,2.9431007652961293e-12,0.999999,32194449.24837143,0.018757365875002863,2.9430913223347947e-12,2.6355258602191567e-07,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,28216526.716294903,4.470752806522729e-09,5.64048667974376e-10,455685.28021414304,1.6136405946555716e-09,2.2257025923690072e-12,0.522789,156923.50505519446,1686.02004394313,1.6018090839348547e-09,6.015467687472081e-10,100000000.0,4.3726025126031756e-05,0.290319,1.970199,430515.4978546018,1397311049.9535363,0.010404162729516107,0.5171647234792762,2.527582542337601,,78342.50860140234,-38549.35103285132,5205.573420468892,1810.880227793532,1201.5752557321102,736.9624879223411,379.61528730462305,203.54246193083236,87.17893124819966,Parallel Circuit,default,1.0000023025877422e-10,630957.3,0.1,2025-04-04 12:09:08
BC25402 - 2023-11-23.z,0.025288728857333496,442464.8323127227,219447.17781335354,3.931490184792977e-12,3.931435289190206e-12,0.999999,184475.62907731565,0.02528873177156467,3.931489278676316e-12,3.41156838848956e-05,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,481570968940.4691,2.6196879951095365e-13,3.304911495019331e-14,223017.5292106403,3.296177999942412e-09,2.344337484139824e-11,0.59331,30441.146137637108,435381.5348605769,8.373964976954862e-10,1.2008510042029653e-11,100000000.0,0.0002571496869771584,0.406788,1.481403,439167.066376769,435531297.57013,0.0023685559366945132,0.06392355970593054,0.8032397443267509,,69399.58603674511,-44920.747004547506,1096.669369087671,260.4667643663124,160.28359104017727,92.30095733114285,45.04923784331186,23.48276336141862,9.870510967622977,Parallel Circuit,default,1.0000023025877422e-10,630957.3,0.1,2025-04-04 12:09:15
BC25403 - 2023-11-23.z,0.010211675367781397,103205.85758351779,47396.90681881955,5.985420666010695e-12,5.985330434096171e-12,0.999999,561024.7230216427,0.010211677567889396,5.985418086890784e-12,2.778056269194707e-05,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,22464724836.873226,5.615753624721318e-12,7.084660250574763e-13,55808.84055302286,1.4635372608573406e-08,1.0362609474720397e-11,0.495027,275199.7277980393,87650.0880695661,4.2795794155169074e-09,6.598113391841769e-12,100000000.0,8.465117681114652e-05,0.272003,1.962225,89796.95130029284,113104144.65563777,0.0021722540513104127,0.08380417598029863,0.8416457601552603,,15595.511494768783,-10903.70340465149,235.35436863964424,68.42379242548486,44.55257629234984,27.088690324279014,13.917875043058302,7.463632591636269,3.1985344142012764,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,6.30957,2025-04-04 12:09:43
BC25403 - 2023-11-23.z,0.010494336845524713,103205.3294301396,47410.76904278318,5.985668744080438e-12,5.9855785104245004e-12,0.999999,560837.442248767,0.010494339168438008,5.985666094235079e-12,2.7041329214769457e-05,0.1,0.009165719573724633,8.401041530415887e-06,0.5,189446.68052845166,22477867573.953518,4.077655592126402e-14,3.7374726507200755e-17,55794.449893019584,1.464123993479258e-08,1.0371585016624145e-11,0.495038,275032.48954501265,87697.88842049867,4.279131264055488e-09,6.598526953654309e-12,100000000.0,8.466618671514098e-05,0.271957,1.962208,89799.13989227824,113092898.1488181,0.0021702449874440245,0.08368761606994865,0.8412053511683606,,15595.089704417085,-10904.064710247607,235.12238254288968,68.33417911968718,44.49222985666711,27.051254664809676,13.898412968526827,7.45314825476089,3.1940299518755637,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,6.30957,2025-04-04 12:10:45
BC25403 - 2023-11-23.z,0.01005928238801305,100089.88085107306,70211.94436025085,6.4898173328918455e-12,6.489722572336699e-12,0.999999,349287.46480608947,0.01005928382920889,6.489815473296822e-12,4.529706566577746e-05,0.1,0.009165719573724633,8.401041530415887e-06,0.5,189446.68052845166,49297255646.06056,1.8592731784488546e-14,1.7041600836226737e-17,29877.826431539812,7.446772776334941e-09,1.1398327514481256e-10,0.668034,46733.68210004612,235208.41374664762,6.635684942966711e-10,1.4478957009350154e-11,100000000.0,0.00011779259784716031,0.503608,0.3548,109191.5770638019,49160726.97010039,0.000542265425173619,0.010055626176128313,0.5458297182169792,,14563.809516554335,-11152.794810200037,48.87713592720684,10.428425152873388,6.1436629031959455,3.3927455970988376,1.5917830908147153,0.8119055841525551,0.3362512301391689,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,6.30957,2025-04-04 12:10:48
BC25405 - 2023-11-23.z,0.010028916143815713,10057.94548442478,8629.507290738022,1.885297624377493e-11,1.8852681547226712e-11,0.999999,978275.1009350742,0.010028927799076624,1.8852932423292057e-11,1.6222008585676933e-05,0.1,0.009165719573724633,8.401041530415887e-06,0.5,189446.68052845166,744694321.2194318,1.2307886739841696e-12,1.1281194566730738e-15,1428.328164770613,8.280594273287639e-06,7.212471858460353e-09,0.38642,15449.271308627787,60767.70219431247,1.6699326316398398e-07,1.695271718537773e-10,100000000.0,0.0173119504341657,0.357204,1.451494,10001.989620619328,136527.96871451492,0.005481667963023854,0.3219092599155276,1.6701571002223787,,1585.9551065953838,-982.552832379466,59.7691841852029,21.606756820483497,14.975251749088784,9.667803167101738,5.256699216704874,2.9085732941657625,1.2734053502972529,Parallel Circuit,default,1.0000529608595169e-10,1000000.0,0.01585,2025-04-04 12:12:00
BC25406 - 2023-11-24.z,21.684179815537856,194014.73542876952,37.94224290066879,4.1947581819588245e-11,4.1946732030781286e-11,0.999999,99999769.74175577,34.07679602179517,1.6985385987055958e-11,4.67048925193327e-11,0.1,0.009165719573724633,8.401041530415887e-06,0.5,189446.68052845166,35612.72928203385,2.5694108781258218e-08,2.3589996329357726e-11,193955.00900605333,9.369064597687643e-08,1.1344912003530024e-11,0.307663,72329.92253998658,59.74481484533368,9.363297050399228e-08,3.683001638742896e-08,100000000.0,3.539997864188821e-06,0.310421,0.319642,476277.1825083794,3676403127.47058,0.06695562716441648,4.358900172738838,16.025241560107325,,64019.05571375784,16224.71747552426,13784.325538691308,5175.491025367752,3645.9323619117204,2395.4742544087057,1326.5497341353912,741.9586262684606,327.3335844099347,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,0.03981,2025-04-04 12:12:37
BC25406 - 2023-11-24.z,0.010000023025877438,1330794.8434292094,195524.4171731787,3.392433388365442e-08,1.919164190789305e-10,0.492192,4241.378201493489,0.010000023537324867,3.392433041356001e-08,0.0037524257664307095,68499.90986022836,9.833566264472393e-07,1.1011541798031996e-07,0.552,21.099977879580145,753624.4553252858,6.619163780066685e-08,1.0008826216523928e-08,1066770.5063957793,3.1405533998465862e-06,1.491928916953675e-05,0.436902,0.010000023025877438,329370.02303431387,2.018022311153963e-06,4.8320905211199826e-05,100000000.0,5.0358177003828066e-05,0.925839,1.984971,473636.846045588,309155548.2198903,0.6390711359546242,170.87174737408918,456.6191853704255,,619416.7035817603,553935.1009359006,532716.5493620613,434680.0444067951,383926.2308890326,313376.6122125962,212244.45865632128,132293.86362808582,62747.05163198721,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,0.03981,2025-04-04 12:27:33
BC25407 - 2023-11-24.z,-103773.86688956356,986435.1838562723,989017.5541674244,1.2741558773502535e-10,2.744992306933759e-12,0.700574,58623.93957297858,-92885.26799277407,1.5903945724234121e-10,-2.922794579031867e-11,68499.90986022836,9.833566264472393e-07,1.1011541798031996e-07,0.552,21.099977879580145,12325497.951324724,5.0725668349553914e-09,6.119749673125854e-10,32691.58671818285,5.13304305234371e-06,5.13303389017476e-06,0.999999,0.9484403016944751,28778237.309337553,5.637801729961323e-09,5.831038946001464e-09,100000000.0,8.29669261176365e-06,0.496073,2.008528,831515.7685630922,19849389879.377403,0.050667878877036485,1.2837592870277974,9.369769542425459,,211396.28302581585,-24745.259740682784,55289.4586662408,25682.127435834846,14944.421295344364,6011.660384685267,1758.908972108271,800.5418008170091,329.13274806179106,Parallel Circuit,default,0.006475957650149008,1000000.0,0.01,2025-04-04 12:30:03
BC25407 - 2023-11-24.z,-103773.86688956356,986435.1838562723,989017.5541674244,1.2741558773502535e-10,2.744992306933759e-12,0.700574,58623.93957297858,-92885.26799277407,1.5903945724234121e-10,-2.922794579031867e-11,68499.90986022836,9.833566264472393e-07,1.1011541798031996e-07,0.552,21.099977879580145,12325497.951324724,5.0725668349553914e-09,6.119749673125854e-10,32691.58671818285,5.13304305234371e-06,5.13303389017476e-06,0.999999,0.9484403016944751,28778237.309337553,5.637801729961323e-09,5.831038946001464e-09,100000000.0,8.29669261176365e-06,0.496073,2.008528,831515.7685630922,19849389879.377403,0.050667878877036485,1.2837592870277974,9.369769542425459,,211396.28302581585,-24745.259740682784,55289.4586662408,25682.127435834846,14944.421295344364,6011.660384685267,1758.908972108271,800.5418008170091,329.13274806179106,Parallel Circuit,default,0.006475957650149008,1000000.0,0.01,2025-04-04 12:32:30
BC25408 - 2023-11-23.z,-118315.86958397349,2457381.1695471033,1188743.0750584148,5.993769262019414e-10,5.033697715210773e-12,0.602565,26597.756146295244,-106539.86407939973,7.391996344107414e-10,-5.616464177610283e-11,68499.90986022836,1.7056849037306278e-06,8.43993557745401e-11,0.17801,27529.03576411372,17797666.767655116,6.170025236716606e-09,3.2483742606779054e-13,1318454.0542124335,4.451779779055137e-06,1.2071219070467879e-05,0.639531,0.01000009210382787,2122772.5287566762,1.2815000292086008e-06,7.4974343728042105e-06,100000000.0,6.3043454132264824e-06,0.611294,-0.771173,1381798.2150537318,2211506632.3337345,0.3434112088607313,115.15307205425871,297.5335293975194,,855134.8504615643,564907.7674704529,677647.8433200307,614252.0237929903,564487.7756886724,480809.11214307835,340043.4533778541,217171.27914142632,104700.89593907492,Parallel Circuit,default,0.00832097083862739,1000000.0,0.25119,2025-04-04 12:34:02
BC25408 - 2023-11-23.z,-118315.86958397349,2457381.1695471033,1188743.0750584148,5.993769262019414e-10,5.033697715210773e-12,0.602565,26597.756146295244,-106539.86407939973,7.391996344107414e-10,-5.616464177610283e-11,68499.90986022836,1.7056849037306278e-06,8.43993557745401e-11,0.17801,27529.03576411372,17797666.767655116,6.170025236716606e-09,3.2483742606779054e-13,1318454.0542124335,4.451779779055137e-06,1.2071219070467879e-05,0.639531,0.01000009210382787,2122772.5287566762,1.2815000292086008e-06,7.4974343728042105e-06,100000000.0,6.3043454132264824e-06,0.611294,-0.771173,1381798.2150537318,2211506632.3337345,0.3434112088607313,115.15307205425871,297.5335293975194,,855134.8504615643,564907.7674704529,677647.8433200307,614252.0237929903,564487.7756886724,480809.11214307835,340043.4533778541,217171.27914142632,104700.89593907492,Parallel Circuit,default,0.00832097083862739,1000000.0,0.25119,2025-04-04 12:38:17
BC25409 - 2023-11-23.z,-107218.3204942565,1371435.0935895126,1220129.7036302926,7.345354378141954e-10,5.9920183080829314e-12,0.593374,21769.126347151723,-97796.5613030776,8.828838735975621e-10,-7.47576338571982e-11,68499.90986022836,1.7056849037306278e-06,8.43993557745401e-11,0.17801,27529.03576411372,19194274.54465007,5.734249295286386e-09,3.01201707278317e-13,190023.80059324822,2.3388384731047783e-13,2.326237924069706e-13,0.999681,3600460.079537852,8526452.487108123,4.490200277681415e-15,5.184343337211257e-15,100000000.0,9.293621905443542e-06,0.225475,0.064615,1480719.4832241326,2087279987.561824,0.007486360005745238,0.939265668451214,3.3438230817638104,,209797.02699826914,-136805.69215272344,11304.574829385383,6190.369543447625,4834.512017263798,3504.075541883474,2126.909018127015,1250.839617151767,570.9724226470571,Parallel Circuit,default,0.005906442766483006,1000000.0,0.03981,2025-04-04 12:39:04
BC25409 - 2023-11-23.z,-107218.3204942565,1371435.0935895126,1220129.7036302926,7.345354378141954e-10,5.9920183080829314e-12,0.593374,21769.126347151723,-97796.5613030776,8.828838735975621e-10,-7.47576338571982e-11,68499.90986022836,1.7056849037306278e-06,8.43993557745401e-11,0.17801,27529.03576411372,19194274.54465007,5.734249295286386e-09,3.01201707278317e-13,190023.80059324822,2.3388384731047783e-13,2.326237924069706e-13,0.999681,3600460.079537852,8526452.487108123,4.490200277681415e-15,5.184343337211257e-15,100000000.0,9.293621905443542e-06,0.225475,0.064615,1480719.4832241326,433942788130.9874,0.007486360005745238,0.939265668451214,3.3438230817638104,,209797.02699826914,-136805.69215272344,11304.574829385383,6190.369543447625,4834.512017263798,3504.075541883474,2126.909018127015,1250.839617151767,570.9724226470571,Parallel Circuit,default,0.005906442766483006,1000000.0,0.01585,2025-04-04 12:42:51
BC25410 - 2023-11-23.z,0.010000046051807899,10387873.957343629,493984.1336744786,3.972188400947281e-12,3.972136200941635e-12,0.999999,81111.6059132823,0.010000046254245413,3.972188240124036e-12,0.0001962163184221442,1.5810769234960662,0.13476991281444126,0.00010691659805859606,0.17801,941.503632615789,154338547101.93723,1.3806072503162897e-12,1.0952763849558668e-15,9893888.23259218,4.553001657209532e-09,6.434978965651352e-11,0.421245,249.9804238011785,518649.6274074701,4.130270215728517e-09,1.2275524612537132e-09,100000000.0,4.5954389403254556e-08,0.601485,0.227942,31826963.154473316,5837798863142.637,0.1549754750169184,8.810009962885957,33.290367766217805,,5213458.779422223,2951955.2720249183,1643445.6088128388,585752.0074455272,401381.36258025095,255776.69260901958,137182.56875689887,75297.73386965692,32780.848697720096,Parallel Circuit,default,0.00016130803470274432,1000000.0,1.0,2025-04-04 12:44:00
BC25411 - 2023-11-23.z,0.08425021154099284,155346.4258091087,9673.26309618718,1.901962136267026e-11,1.9019326400215185e-11,0.999999,865071.4914124314,0.08425094532628061,1.901929006057022e-11,2.1837018857063326e-06,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,935746162.1881381,1.3481788870206009e-10,1.700834580178552e-11,145672.97846271,1.2898736784664924e-07,3.636194718224944e-10,0.403668,3004.650760969884,10315.814822859034,1.1342339682601575e-07,5.13478890393068e-09,100000000.0,4.1233765810740915e-06,0.37364,0.4022,386093.8441701153,16334242.502674665,0.06165668917419454,3.4984689683071073,13.508534148070384,,49888.022367514845,11404.641585479025,10194.305829352408,3588.0783897807996,2467.177805961779,1579.9768619315582,852.2973221526772,469.472191812034,204.9036118706863,Parallel Circuit,default,9.42840001753014e-10,1000000.0,25.11886,2025-04-04 12:44:33
BC25412 - 2023-11-23.z,0.010000023025877438,8924.87139178167,1944.527099585365,2.810225609350843e-09,1.7202126286523189e-10,0.812657,475799.5204678918,0.010000074452499643,2.810196705558216e-09,3.3449751692871506e-05,0.1,1.26156626101008,0.15915494309189535,0.5,10.0,37814189.85463373,3.3360529254671974e-09,4.208868250350538e-10,6980.234292173279,2.088632234838079e-05,1.5670365696607583e-05,0.87016,1.4550268247110452,2486.3973458817204,1.2776092373704405e-05,4.3992495482481685e-05,100000000.0,9.908136932619445e-05,0.24035,0.289398,18868.967202689717,1858129.0747016922,0.6680276738734052,14.78253423773654,110.44257435173103,,7123.8019931306135,6532.268127736512,6050.509231753171,2763.4941313144473,1437.844059945066,551.3122923786323,169.3064407613565,71.75161076007316,26.849167531734565,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,1.0,2025-04-04 12:45:03
BC25413 - 2023-11-23.z,0.011127228334248881,7728519.239994863,279038.4173319037,1.636322880628942e-11,7.007871530010087e-12,0.935488,81389.8035070898,0.011127228777969898,1.636322750125498e-11,0.00017573696197123443,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,778624724607.8499,1.2353235474100731e-14,1.1882010761102794e-16,7449480.711535731,2.795840591064183e-09,3.6756583029025195e-11,0.471956,581.2446921552323,289490.5993322152,2.597597280749816e-09,9.458595786126232e-10,100000000.0,6.260701531301287e-08,0.495346,0.221728,23811512.073299255,12251952653.263962,0.09123985042679368,4.057685180002962,16.809798676318213,,3299774.826824502,1414588.9454878448,731512.6434593797,225138.6895734463,148877.52924643084,91812.76678123325,47789.514526478015,25809.264788043685,11113.58448750712,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,15.84893,2025-04-04 12:46:10
BC25414 - 2023-11-23.z,0.010000023025877438,1710374.3716109484,861316.9621893853,2.625371565838076e-12,2.625337437295889e-12,0.999999,70383.68484350269,0.01000002314197925,2.625371504876138e-12,0.00022612424332512144,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,7418670127132.272,1.296531148374424e-15,1.2470735587521584e-17,849057.29942154,4.803102601306928e-09,8.740839215872011e-12,0.465842,21445.195019291736,1735070.9393905574,1.1836232926085332e-09,4.2773313590930005e-12,100000000.0,1.0000023025877443e-08,0.690199,0.021541,59660946.2952439,177369177597.5237,0.008880406173733498,0.39023217120444675,2.0674025296288208,,303685.87796821306,-136585.40378604503,16438.081097857328,5026.008472553454,3327.697132942034,2056.0545053828973,1072.5470454725437,580.0156608177349,249.99560017115436,Parallel Circuit,default,7.40242472911998e-09,1000000.0,63.09573,2025-04-04 12:53:18
