file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC29049-2024-11-07.z,6.71E+02,1.30E+05,1.20E+05,3.38E-10,7.64E-12,7.28E-01,1.74E+05,6.75E+02,3.34E-10,7.55E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.44E+10,8.74E-11,1.10E-10,1.03E+04,3.77E-05,2.48E-06,2.59E-01,6.24E+00,1.53E+06,2.34E-07,1.54E-08,1.00E+10,8.81E-04,5.00E-01,1.11E-01,1.28E+05,1.89E+01,4.22E-02,3.95E+00,1.21E+01,1.31E+05,7.32E+04,5.53E+03,3.79E+03,2.18E+03,1.71E+03,1.24E+03,7.54E+02,4.42E+02,2.01E+02,p3Zarc,B,1.00E-09,1.59E+05,6.31E-02,2024-11-19/12:03:52
BC29051-2024-11-07.z,1.98E+03,3.31E+05,2.95E+05,1.21E-10,4.63E-12,7.59E-01,1.17E+05,1.99E+03,1.19E-10,4.57E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,8.83E+10,1.43E-11,1.80E-11,3.39E+04,3.54E-06,8.99E-08,3.66E-01,5.22E+01,2.90E+06,3.72E-08,9.45E-10,1.00E+10,2.66E-05,5.09E-01,-2.00E+00,3.28E+05,6.28E+11,5.45E-02,2.42E+00,8.40E+00,3.36E+05,1.93E+05,1.83E+04,1.01E+04,4.36E+03,3.14E+03,2.09E+03,1.17E+03,6.55E+02,2.89E+02,p3Zarc,B,1.00E-09,1.59E+05,6.31E-02,2024-11-19/12:05:10
BC29053-2024-11-07.z,3.69E+02,1.83E+05,1.56E+05,5.93E-11,4.70E-12,8.21E-01,2.17E+05,3.69E+02,5.90E-11,4.68E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,2.44E+10,5.17E-11,6.52E-11,2.69E+04,7.70E-06,2.55E-08,2.16E-01,2.32E+02,1.07E+06,1.66E-07,5.50E-10,1.00E+10,1.21E-04,5.12E-01,-1.99E+00,1.79E+05,1.22E+01,5.22E-02,4.23E+00,1.30E+01,1.83E+05,1.03E+05,9.54E+03,6.09E+03,3.31E+03,2.58E+03,1.86E+03,1.12E+03,6.58E+02,3.00E+02,p3Zarc,A,1.00E-09,2.51E+05,6.31E-02,2024-11-19/12:06:36
BC29055-2024-11-07.z,1.87E+02,8.42E+04,5.68E+04,9.17E-11,7.51E-12,8.29E-01,3.73E+05,1.88E+02,9.11E-11,7.46E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,3.25E+09,3.88E-10,4.90E-10,2.72E+04,2.60E-06,1.97E-09,2.69E-01,2.97E+03,1.76E+05,2.72E-07,2.06E-10,1.00E+10,1.93E-04,4.49E-01,-2.00E+00,8.27E+04,2.03E+01,8.06E-02,4.20E+00,1.37E+01,8.44E+04,5.02E+04,6.81E+03,3.67E+03,1.71E+03,1.27E+03,8.82E+02,5.13E+02,2.94E+02,1.32E+02,p3Zarc,A,1.00E-09,3.98E+05,1.59E-01,2024-11-19/12:07:55
BC29055-2024-11-07.z,1.87E+02,8.42E+04,5.68E+04,9.17E-11,7.51E-12,8.29E-01,3.73E+05,1.88E+02,9.11E-11,7.46E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,3.25E+09,3.88E-10,4.90E-10,2.72E+04,2.60E-06,1.97E-09,2.69E-01,2.97E+03,1.76E+05,2.72E-07,2.06E-10,1.00E+10,1.93E-04,4.49E-01,-2.00E+00,8.27E+04,2.03E+01,8.06E-02,4.20E+00,1.37E+01,8.44E+04,5.02E+04,6.81E+03,3.67E+03,1.71E+03,1.27E+03,8.82E+02,5.13E+02,2.94E+02,1.32E+02,p3Zarc,B,1.00E-09,3.98E+05,1.59E-01,2024-11-19/12:08:10
BC29060-2024-11-07.z,2.64E+03,2.65E+05,2.29E+05,1.47E-10,5.09E-12,7.54E-01,1.36E+05,2.67E+03,1.43E-10,4.97E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,5.38E+10,2.34E-11,2.96E-11,3.30E+04,2.60E-06,1.11E-08,3.10E-01,4.37E+02,1.87E+06,4.03E-08,1.71E-10,1.00E+10,8.06E-05,4.80E-01,-2.04E+00,2.63E+05,2.48E+11,4.45E-02,2.04E+00,6.90E+00,2.69E+05,1.53E+05,1.20E+04,6.25E+03,2.77E+03,2.03E+03,1.38E+03,7.89E+02,4.47E+02,1.99E+02,p3Zarc,B,1.00E-09,1.59E+05,1.59E-01,2024-11-19/12:09:05
BC29061-2024-11-07.z,2.34E+03,3.19E+05,2.95E+05,1.54E-10,5.15E-12,7.46E-01,1.05E+05,2.36E+03,1.52E-10,5.07E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,8.82E+10,1.43E-11,1.81E-11,2.21E+04,4.85E-06,5.25E-07,5.01E-01,1.37E+01,4.29E+06,2.33E-08,2.52E-09,1.00E+10,2.54E-05,5.01E-01,-1.99E+00,3.18E+05,4.82E+01,5.12E-02,1.56E+00,6.15E+00,3.25E+05,1.85E+05,1.66E+04,9.42E+03,3.39E+03,2.25E+03,1.38E+03,7.15E+02,3.83E+02,1.64E+02,p3Zarc,B,1.00E-09,1.59E+05,6.31E-02,2024-11-19/12:12:40
BC29061-2024-11-07.z,2.34E+03,3.19E+05,2.95E+05,1.54E-10,5.15E-12,7.46E-01,1.05E+05,2.36E+03,1.52E-10,5.07E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,8.82E+10,1.43E-11,1.81E-11,2.21E+04,4.85E-06,5.25E-07,5.01E-01,1.37E+01,4.29E+06,2.33E-08,2.52E-09,1.00E+10,2.54E-05,5.01E-01,-1.99E+00,3.18E+05,4.82E+01,5.12E-02,1.56E+00,6.15E+00,3.25E+05,1.85E+05,1.66E+04,9.42E+03,3.39E+03,2.25E+03,1.38E+03,7.15E+02,3.83E+02,1.64E+02,p3Zarc,B,1.00E-09,1.59E+05,6.31E-02,2024-11-19/12:13:34
